;;;;;;;;;;;;;;;;;;
"Абдулхаев Фаррух";;;;;;;;;;;;;;;;;;
"Price List";;;;;;;;;;;;;;;;;;
"03 окт 2024";;;;;;;;;;;;;;;;;;
"в„–";"Code";"Barcode";"Name";"Qty per Box";"Card Number";"Balance";"Your order";"Price Type: Акция";"Акция with margin";"Price Type: Возврат";"Возврат with margin";"Price Type: При 100% Оплате (перечисление)";"При 100% Оплате (перечисление) with margin";"Price Type: Цена договорная (перечисление)";"Цена договорная (перечисление) with margin";"Expiry Date";"Группа";"Producer"
"""Leeches Export"" ЧП";;;;;;;;;;;;;;;;;;
"1";"A9396";;"Зинерин(Зинерит)Адапален лосьон 35мл№1";"60";"15022024";"66";;;;;;"36014";"36014";"37128";"37128";"01.02.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"2";"A11640";;"Синокс(Миноксидил).Лосьон-10. 60мл№1";"6";"15022024";"22";;;;;;"111548";"111548";"114998";"114998";"01.02.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"3";"A11641";;"Синокс(Миноксидил).Лосьон-15. 60мл№1";"6";"15082024";"30";;;;;;"148602";"148602";"153198";"153198";"01.08.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"4";"A11639";;"Синокс(Миноксидил).Лосьон-5. 60мл№1";"6";"15012024";"9";;;;;;"68907";"68907";"71038";"71038";"01.01.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"5";"A11637";;"ЭкоДрай Антиперспирант спрей 35мл№1 Universal";"120";"15022024";"39";;;;;;"30505";"30505";"31448";"31448";"01.02.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"""RIVER MED PHARM""";;;;;;;;;;;;;;;;;;
"6";"03004122003038003";;"Глюкоза р-р д/инфузий 10% 250мл";"30";"00010224";"1641";;;;;;"7450";"7450";"7680";"7680";"01.03.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"7";"03004122003038002";;"Глюкоза р-р д/инфузий 5% 250мл";"30";"00010224";"2";;;;;;"6198";"6198";"6390";"6390";"01.03.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"8";"A56684";;"Левофлоксацин р-р д/инф.0,5% 100мл";"48";"00010324";"7";;;;;;"8361";"8361";"8620";"8620";"01.04.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"9";"A56685";;"Метронидазол р-р д/инф.5мг/мл 100мл";"48";"00010424";"106";;;;;;"6693";"6693";"6900";"6900";"01.05.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"10";"A57436";;"Натрия гидрокарбонат р-р. д/инф.4% 200мл";"30";"00010424";"70";;;;;;"7173";"7173";"7395";"7395";"01.05.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"""Shandong Qinkai Medical Industry Co., Ltd""";;;;;;;;;;;;;;;;;;
"11";"A34964";;"Система для в/в влив. инф. р-ров однокр. прим. с иглой №1";"1";"20230305";"27900";;;;;;"1440";"1440";"1485";"1485";"01.03.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"12";"A53846";;"Система для вливания малые вены однок.прим 21G (бабочка)";"100";"20230731.";"45";;;;;;"679";"679";"700";"700";"01.07.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"13";"A53848";;"Система для вливания малые вены однок.прим 23G (бабочка)";"100";"20230731";"6";;;;;;"760";"760";"784";"784";"01.07.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"14";"A53849";;"Система для вливания малые вены однок.прим 24G (бабочка)";"100";"20230731.";"667";;;;;;"679";"679";"700";"700";"01.07.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"15";"A53850";;"Система для вливания малые вены однок.прим 25G (бабочка)";"100";"20230731.";"188";;;;;;"679";"679";"700";"700";"01.07.2028";"НДС";"""Shandong Qinkai Medical Industry Co., Ltd""/Китай"
"""VANSH REMEDIES""";;;;;;;;;;;;;;;;;;
"16";"03004250019013001";;"Дорастон супп. ваг. №10";"200";"GS087";"764";;;;;;"63793";"63793";"65766";"65766";"01.07.2025";"НДС";"""VANSH REMEDIES""/Индия"
