;;;;;;;;;;;;;;;;;;
"Абдулхаев Фаррух";;;;;;;;;;;;;;;;;;
"Price List";;;;;;;;;;;;;;;;;;
"03 окт 2024";;;;;;;;;;;;;;;;;;
"в„–";"Code";"Barcode";"Name";"Qty per Box";"Card Number";"Balance";"Your order";"Price Type: Акция";"Акция with margin";"Price Type: Возврат";"Возврат with margin";"Price Type: При 100% Оплате (перечисление)";"При 100% Оплате (перечисление) with margin";"Price Type: Цена договорная (перечисление)";"Цена договорная (перечисление) with margin";"Expiry Date";"Группа";"Producer"
"""Leeches Export"" ЧП";;;;;;;;;;;;;;;;;;
"1";"A9396";;"Зинерин(Зинерит)Адапален лосьон 35мл№1";"60";"15022024";"20";;;;;;"36014";"36014";"37128";"37128";"01.02.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"2";"A11640";;"Синокс(Миноксидил).Лосьон-10. 60мл№1";"6";"15082024";"24";;;;;;"111548";"111548";"114998";"114998";"01.08.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"3";"A11641";;"Синокс(Миноксидил).Лосьон-15. 60мл№1";"6";"15082024";"14";;;;;;"148602";"148602";"153198";"153198";"01.08.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"4";"A11637";;"ЭкоДрай Антиперспирант спрей 35мл№1 Universal";"120";"15022024";"345";;;;;;"30505";"30505";"31448";"31448";"01.02.2026";"БАД";"""Leeches Export"" ЧП/Узбекистан"
"""RIVER MED PHARM""";;;;;;;;;;;;;;;;;;
"5";"03004122003038003";;"Глюкоза р-р д/инфузий 10% 250мл";"30";"00010224";"10";;;;;;"7450";"7450";"7680";"7680";"01.03.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"6";"03004122003038002";;"Глюкоза р-р д/инфузий 5% 250мл";"30";"00030224";"25";;;;;;"6198";"6198";"6390";"6390";"01.03.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"7";"A56684";;"Левофлоксацин р-р д/инф.0,5% 100мл";"48";"00020324";"1413";;;;;;"8361";"8361";"8620";"8620";"01.04.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"8";"A56685";;"Метронидазол р-р д/инф.5мг/мл 100мл";"48";"00010424.";"884";;;;;;"5379";"5379";"5545";"5545";"01.05.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"9";"A33947";;"Натрия хлорид 0,9% 250мл";"30";"01530624";"1927";;;;;;"4179";"4179";"4308";"4308";"01.07.2026";"НДС";"""RIVER MED PHARM""/Узбекистан"
"10";"03004116002011001";;"Реополиглюкин р-р.д/инфузий 250мл";"1";"00010224";"79";;;;;;"19080";"19080";"19670";"19670";"01.03.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
"11";"03004118001010001";;"Рингер Лактат р-р д/инф. 250мл";"30";"00030324";"2";;;;;;"7334";"7334";"7560";"7560";"01.04.2027";"НДС";"""RIVER MED PHARM""/Узбекистан"
